p,objID,run,camcol,field,ra,dec
0.6539357,(1237662195078530072,3893,4,406,228.2293703,34.04885236
0.6508314,(1237667430084838027,5112,3,71,120.7753795,12.61132101
0.65039146,(1237651823244215291,1478,5,22,211.3544851,4.905290001
0.6497929,(1237661949179658623,3836,2,223,182.2429226,11.88996411
0.6473458,(1237659119329870481,3177,3,174,234.7878596,42.3969311
0.64448375,(1237665016314528077,4550,3,91,170.5444946,34.00676761
0.6393416,(1237668292837376703,5313,2,86,172.2801315,18.70773872
0.63878846,(1237667252928316117,5071,1,237,150.1003657,24.32888403
0.6340592,(1237664818211128255,4504,2,121,175.4741542,36.63297454
0.6331316,(1237667536931521213,5137,2,214,145.2922706,18.90532381
0.6317251,(1237664879950955606,4518,5,116,144.4667171,30.93565718
0.62293017,(1237651539257000497,1412,4,289,225.6273748,61.73765482
0.6213569,(1237659133282353624,3180,5,80,217.1667292,51.33580678
0.6183699,(1237665127456178402,4576,2,234,147.9083899,28.33884311
0.61147267,(1237668365849396731,5330,2,49,236.1686534,13.92683888
0.60962677,(1237668590797194068,5382,5,32,186.0096649,18.09187155
0.6037074,(1237659330849866486,3226,5,65,242.5965717,43.4933867
